sample	gene	n_cpgs	methylated_count	total_count	weighted_average
nb22	g978	1	14	16	87.5
nb22	g979	9	0	151	0.0
nb22	g980	187	5	2805	0.1783
nb22	g981	3	0	34	0.0
nb22	g982	48	74	743	9.9596
nb22	g983	40	0	684	0.0
nb22	g986	11	1	183	0.5464
nb22	g987	71	0	1154	0.0
nb22	g988	24	0	362	0.0
nb22	g989	107	324	5596	5.7898
nb22	g994	49	0	837	0.0
nb22	g995	105	2	1600	0.125
nb22	g997	71	1	1105	0.0905
nb22	g999	8	0	152	0.0
nb22	g1000	145	3	3898	0.077
nb22	g1004	41	51	776	6.5722
nb22	g1005	18	50	202	24.7525
nb22	g1006	88	0	1809	0.0
nb22	g1008	52	0	806	0.0
nb22	g1009	31	1	400	0.25
nb22	g1010	8	0	94	0.0
nb22	g1011	126	1	1950	0.0513
nb22	g1012	126	1	1805	0.0554
nb22	g1013	32	0	614	0.0
nb22	g1019	84	15	1746	0.8591
nb22	g1026	13	0	165	0.0
nb22	g1028	25	0	571	0.0
nb22	g1034	8	0	147	0.0
nb22	g1035	4	0	48	0.0
nb22	g1036	8	0	98	0.0
nb22	g1038	163	1059	11255	9.4092
nb22	g1039	14	0	195	0.0
nb22	g1040	19	1	322	0.3106
nb22	g1041	88	0	1465	0.0
nb22	g1043	8	0	84	0.0
nb22	g1044	93	1	1492	0.067
nb22	g1045	16	0	202	0.0
nb22	g1046	15	9	258	3.4884
nb22	g1047	31	1	566	0.1767
nb22	g1049	10	101	153	66.0131
nb22	g1050	3	64	298	21.4765
nb22	g1051	67	0	2426	0.0
nb22	g1052	32	0	1691	0.0
nb22	g1058	1	6	13	46.1538
nb22	g1059	7	0	83	0.0
nb22	g1063	7	0	85	0.0
nb22	g1064	32	4	529	0.7561
nb22	g1066	37	0	428	0.0
nb22	g1067	163	7	4567	0.1533
nb22	g1068	151	22	3922	0.5609
nb22	g1071	2	0	70	0.0
nb22	g1072	62	2	906	0.2208
nb22	g1073	1	5	10	50.0
nb22	g1077	60	0	958	0.0
nb22	g1080	29	0	526	0.0
nb22	g1084	42	1085	1671	64.9312
nb22	g1085	24	699	1050	66.5714
nb22	g1088	202	6	11005	0.0545
nb22	g1090	60	11	894	1.2304
nb22	g1093	6	0	75	0.0
nb22	g1095	16	198	473	41.8605
nb22	g1097	52	7	928	0.7543
nb22	g1099	18	0	434	0.0
nb22	g1100	8	6	131	4.5802
nb22	g1103	1	0	15	0.0
nb22	g1105	6	0	92	0.0
nb22	g1108	19	0	343	0.0
nb22	g1111	8	0	147	0.0
nb22	g1113	4	0	53	0.0
nb22	g1114	2	0	25	0.0
nb22	g1116	53	0	938	0.0
nb22	g1118	2	0	24	0.0
nb22	g1120	3	0	63	0.0
nb22	g1121	41	0	548	0.0
nb22	g1122	14	0	235	0.0
nb22	g1123	80	3	1473	0.2037
nb22	g1124	10	0	131	0.0
nb22	g1125	97	8	2164	0.3697
nb22	g1132	8	0	97	0.0
nb22	g1138	76	1	1198	0.0835
nb22	g1139	1	0	12	0.0
nb22	g1140	24	13	411	3.163
nb22	g1141	6	8	90	8.8889
nb22	g1144	3	0	47	0.0
nb22	g1147	5	0	50	0.0
nb22	g1148	38	0	595	0.0
nb22	g1149	1	0	13	0.0
nb22	g1150	25	27	371	7.2776
nb22	g1151	113	4	5083	0.0787
nb22	g1155	1	13	17	76.4706
nb22	g1160	5	0	65	0.0
nb22	g1161	47	47	628	7.4841
nb22	g1162	14	59	246	23.9837
nb22	g1163	24	0	551	0.0
nb22	g1164	1	0	21	0.0
nb22	g1169	107	9	1928	0.4668
nb22	g1170	10	0	119	0.0
nb22	g1171	3	0	31	0.0
nb22	g1173	103	134	2657	5.0433
nb22	g1176	6	0	69	0.0
nb22	g1178	1	6	10	60.0
nb22	g1181	8	0	111	0.0
nb22	g1182	11	0	232	0.0
nb22	g1184	6	0	67	0.0
nb22	g1187	107	1	1658	0.0603
nb22	g1188	9	28	131	21.374
nb22	g1189	35	0	499	0.0
nb22	g1190	3	0	31	0.0
nb22	g1191	10	0	130	0.0
nb22	g1192	20	0	384	0.0
nb22	g1193	1	0	21	0.0
nb22	g1194	6	0	74	0.0
nb22	g1195	98	5	1732	0.2887
nb22	g1196	39	0	512	0.0
nb22	g1197	47	0	757	0.0
nb22	g1198	433	22	7647	0.2877
nb22	g1199	44	0	634	0.0
nb22	g1200	22	0	516	0.0
nb22	g1206	2	0	20	0.0
nb22	g1209	15	10	227	4.4053
nb22	g1211	1	0	11	0.0
nb22	g1213	88	0	1521	0.0
nb22	g1214	5	0	68	0.0
nb22	g1217	16	0	485	0.0
nb22	g1218	73	0	1253	0.0
nb22	g1219	7	0	92	0.0
nb22	g1226	90	0	2087	0.0
nb22	g1227	68	3	1669	0.1797
nb22	g1228	113	1	4681	0.0214
nb22	g1229	24	0	284	0.0
nb22	g1231	53	17	825	2.0606
nb22	g1232	44	22	555	3.964
nb22	g1234	4	0	44	0.0
nb22	g1236	17	0	288	0.0
nb22	g1237	7	111	133	83.4586
nb22	g1238	46	45	631	7.1315
nb22	g1239	12	3	222	1.3514
nb22	g1240	12	49	153	32.0261
nb22	g1241	2	0	22	0.0
nb22	g1242	10	0	158	0.0
nb22	g1243	1	11	12	91.6667
nb22	g1244	1	0	14	0.0
nb22	g1245	7	0	80	0.0
nb22	g1246	9	127	142	89.4366
nb22	g1247	6	14	79	17.7215
nb22	g1249	3	0	70	0.0
nb22	g1250	8	0	138	0.0
nb22	g1251	10	0	140	0.0
nb22	g1252	1	0	17	0.0
nb22	g1253	19	0	241	0.0
nb22	g1256	2	0	28	0.0
nb22	g1260	12	0	266	0.0
nb22	g1261	15	0	252	0.0
nb22	g1262	1	0	17	0.0
nb22	g1266	6	4	70	5.7143
nb22	g1267	15	2	211	0.9479
nb22	g1268	40	30	691	4.3415
